date,tweets,image
2020-11-01 07:23:01,b'RT @lilacjay2: Please sign this petition &amp; retweet. Lolita has spent 50 years in a tiny tank (illegally too small but nobody in power seems\xe2\x80\xa6',none

2020-11-01 07:21:47,b'RT @SSL4M3R: @SkyshockGG @UbisoftLatam Esooo My sky lolita https://t.co/OuKmAkBk2f',http://pbs.twimg.com/media/EluIGUTUYAAi9Sx.jpg

2020-11-01 07:20:05,b'@SkyshockGG @UbisoftLatam Esooo My sky lolita https://t.co/OuKmAkBk2f',http://pbs.twimg.com/media/EluIGUTUYAAi9Sx.jpg

2020-11-01 07:19:22,"b""@StPatrick33 @Mediaite Closed caption - \n\nTrump:  Hey Jeffrey, any truth to the rumor that you fly Hillary's husban\xe2\x80\xa6 https://t.co/wpko7i2EtG""",none

2020-11-01 07:18:09,"b'@6XdivergentX4 @moonlightslove_ @NoSoulArtist @lolita_bih @BijuuMike Is just not right, however you see it. Mike is\xe2\x80\xa6 https://t.co/D64WKBeREI'",none

2020-11-01 07:16:50,"b'@6XdivergentX4 @moonlightslove_ @NoSoulArtist @lolita_bih @BijuuMike I understand but, if you are uncomfortable wit\xe2\x80\xa6 https://t.co/u4uZKBJmTp'",none

2020-11-01 07:14:16,b'@NoSoulArtist @lolita_bih @BijuuMike People could have things similar that happen to the characters  and when someo\xe2\x80\xa6 https://t.co/mSjpxrIJWy',none

2020-11-01 07:13:29,b'@worldsback1 @AlenaOstberg @Maddiewasmatty @Here_Diversity @TsBaeX2 @Jessyisback2 @Ts_Lolita @Shemalesbr\xe2\x80\xa6 https://t.co/J99JIWjvxh',none

2020-11-01 07:12:30,"b'Am I right in this? Is a better word for absurdity, simply, IRONY? This came up with a friend. Kubrick made such di\xe2\x80\xa6 https://t.co/8dFDaWEanT'",none

2020-11-01 07:11:11,b'Circle\xc2\xa02\n\n@Pixel_Simp\n@saburista\n@silke_lolita\n@kaedekatsuki\n@papog_\n@tllynoterrence\n@satorisimp777\n@vmialux\xe2\x80\xa6 https://t.co/MILEqZtOBj',none

2020-11-01 07:09:33,"b'RT @WhatsOnStage: Almeida Theatre to reopen for new socially distanced season beginning in December, with three sho\xe2\x80\xa6 https://t.co/hMHjIfUJJZ'",none

